"sep=,"
"name","replacement"
"emu_check_true","Replacement has verified and can be used in future."
"emu_check_get","Please wait until bot registered in online cloud..."
"emu_check_false","Replacement cant be verified, some features has been limited."
"vert_payment_done","Thanks for donation, now bot have been Premium in %chat_name%."
"vert_payment_get","Please wait until your purchase get certified..."
"vert_payment_error","Purchase cancelled or something wrong, please try again later."
"google_user_verification_true","You Google email has verified successful."
"google_user_verification_false","Your Google email has not verified or not found, please try again later."
"console_trylist_00a","(🔰) Settings has been changed successful."
"console__trylist_00b","(⚠️) Settings has been changed successful. (Something wrong after changing, {LOGs} please try again later or recall console block.)"
"console_trylist_00c","(❎) ReplicatedStorage haven't been able to make replying 'answer'."
"console_trylist_01a","Test"
